1.png,Paracetamol
2.png,Paracetamol
3.png,Paracetamol
4.png,Paracetamol
5.png,Paracetamol
6.png,Dolo 650
7.png,Dolo 650
8.png,Dolo 650
9.png,Dolo 650
10.png,Dolo 650
11.png,Crocin
12.png,Crocin
13.png,Crocin
14.png,Crocin
15.png,Crocin
16.png,Aspirin
17.png,Aspirin
18.png,Aspirin
19.png,Aspirin
20.png,Aspirin
21.png,Ibuprofen
22.png,Ibuprofen
23.png,Ibuprofen
24.png,Ibuprofen
25.png,Ibuprofen
26.png,Amoxicillin 500
27.png,Amoxicillin 500
28.png,Amoxicillin 500
29.png,Amoxicillin 500
30.png,Amoxicillin 500
31.png,Azithromycin
32.png,Azithromycin
33.png,Azithromycin
34.png,Azithromycin
35.png,Azithromycin
36.png,Cetirizine 10mg
37.png,Cetirizine 10mg
38.png,Cetirizine 10mg
39.png,Cetirizine 10mg
40.png,Cetirizine 10mg
41.png,Pantoprazole
42.png,Pantoprazole
43.png,Pantoprazole
44.png,Pantoprazole
45.png,Pantoprazole
46.png,Metformin 500
47.png,Metformin 500
48.png,Metformin 500
49.png,Metformin 500
50.png,Metformin 500
51.png,Insulin
52.png,Insulin
53.png,Insulin
54.png,Insulin
55.png,Insulin
56.png,ORS
57.png,ORS
58.png,ORS
59.png,ORS
60.png,ORS
61.png,Vitamin B12
62.png,Vitamin B12
63.png,Vitamin B12
64.png,Vitamin B12
65.png,Vitamin B12
66.png,Calcium 500
67.png,Calcium 500
68.png,Calcium 500
69.png,Calcium 500
70.png,Calcium 500
71.png,BP 120/80
72.png,BP 120/80
73.png,BP 120/80
74.png,BP 120/80
75.png,BP 120/80
76.png,HbA1c
77.png,HbA1c
78.png,HbA1c
79.png,HbA1c
80.png,HbA1c
81.png,2.5 ml
82.png,2.5 ml
83.png,2.5 ml
84.png,2.5 ml
85.png,2.5 ml
86.png,500 mg
87.png,500 mg
88.png,500 mg
89.png,500 mg
90.png,500 mg
91.png,10 mL
92.png,10 mL
93.png,10 mL
94.png,10 mL
95.png,10 mL
96.png,3 times/day
97.png,3 times/day
98.png,3 times/day
99.png,3 times/day
100.png,3 times/day
